class,tweet
no_xeno,Judge Denies Trump Request to Delay Deadline for Releasing Immigrant Children https://t.co/0RyK9uJx22 via @democracynow
no_xeno,"I, Sun Ziyang, an ethnic Chinese immigrant, am proud to be an American.

#GodBlessAmerica https://t.co/oUIfbdca4w"
xeno,"Great, now #HitlerTrump is having his stripper immigrant wife kill the plants &amp; flowers established, healthy &amp; beautiful Rose Garden at our White House. 

Do they even know why it is called, the Rose Garden?

These people are crass, vile &amp; evil with a disdain for all that is good https://t.co/Tkpuw3AswZ"
no_xeno,"This is such BULL CRAP!  Im a woman of color, immigrant, grew up in poverty, raised by a sing mother w/3 siblings.  I had the same oppty for college to better myself. Im NOT a victim. I chose to WORK hard, doub major undergrad &amp; grad school, successful  ??????? &amp; soon an author.?? https://t.co/AEp5v3qv2C"
no_xeno,"if theres one thing about me and my ethnic friends, its that we can wear the fuck out of bucket hats. stepping out like our very immigrant mothers dressed us for a 2004 beach day."
no_xeno,"@xoyevaxo @qweenB222 @Raptothefeature @chamemerasha @kanyewest ok well i was born here so not an immigrant. and we should have WAY more Black successful people fucktard???????we would be running america as much as Jewish Americans if amerikkka wasnt oppressing us. its cool tho, im working hard and ill be on top and youll still be ????"
no_xeno,"Call/email your rep today! 
Our MA immigrant residents need drivers licenses - for public safety for the health of our economy, and because it's the right thing to do! Please support Work and Family Mobility Act Amendment 251 to the Economic Dev. Bill. 
#mapoli #drivingMAforward"
no_xeno,Does anybody elses immigrant parents yell at them when they think youve given too much tip at Resteraunt? Im literally giving whats recommended lmao.
no_xeno,"@dangelno Then to spice shit up we also have the thousands of immigrant women who were raped by cops that pulled them over for tedious shit.
It is literally more dangerous to call the cops than it is to rally the public."
no_xeno,"Thank you Superintendent Ron Tucker and Asst. Superintendent Mike Hawkins for your Keynote this morning recognizing the importance of welcoming immigrant/refugee students and families in schools at the 2020 SEE-TEL Virtual Summer Institute. @see_tel
 @BaylessSchools"
no_xeno,"@rfarawi_ I LOVE this thread so much ?????? according to our immigrant parents, the only thing that happens after dark is prostitution and murder. ?????? Immigrant children all live the same lives, just in different languages!"
no_xeno,"@DelJohnsonVC This was an amazingly awesome read. So refreshing especially for an immigrant, non-tech founder like myself with zero network to count on for a warm intro"
no_xeno,"Immigrant families deserve to live without fear in Massachusetts, especially amid the #COVID19 pandemic. It's a moral imperative. Let's align our laws with our values! Pass the #SafeCommunitiesAct ASAP! @MassGovernor @KarenSpilka @SpeakerDeLeo #MALeg"
xeno,@katierogers She announced plans for a new sprinkler system that will water the plants with the blood of immigrant children.  Reduce reuse recycle.
no_xeno,"Or an immigrant mom who always said no to everything growing up, ??

I love your advice, I can just imagine how adorable your toddler is! https://t.co/ZNp1m8BJA9"
no_xeno,"Immigrant parents. Called folx last night typical backhanded compliments
Mom: ugh ur arms are kinda scary big now. Too strong, not cute.                 Dad: I read ur essay. Its useless no one will comprehend it. Ur throwing ur knowledge in garbage. Too smart. Write more simply"
no_xeno,"Theres so much to unpack here, where does one even start. ?? The psychology comment? Generalizations about immigrants and erasure of diversity of immigrant experiences?? The questioning of whether anti-Black racism is *really* the problem??? Something else???? https://t.co/TMkMKqowyg"
no_xeno,"@clackamascounty You must talk the latinos, many of them , and immigrant farmer don't fallow the rule, when you trying to explain the became uncooperative, and acuse people of discrimination because you ask to ware a mask , stop be gathering of party, games, most of the come from California."
no_xeno,Hundreds of immigrant owned small businesses are suffering across the City. My Jobs Act bill seeks to create a small business lease program that would establish an environment for fair negotiations in the commercial lease renewal process... https://t.co/vI7Np4BPkB
no_xeno,"@SenDuckworth Not to mention #Trump is a Rapist, Racist, uncaring, coward, idiot that only gets votes because he switched parties because he knew who would vote for him, Disrespectful member of a immigrant family but hates immigrants who doomed America to this current destruction!"
no_xeno,"Trump has connected with General John Kelly, his former Chief-of-Staff. Kelly landed on his feet and sits on the board of directors for Caliburn Int'l, largest private prison operator, specializing in immigrant incarceration. They have hired vast #'s untrained guards now guarding"
no_xeno,"@JillMarieRichar The reviews have been spot on. My focus is on immigrant churches moving from separatist to evangelical, so a lot of the figures are familiar. Its giving me new context."
no_xeno,"@RawStory Trump is a president that gets things done? Name one thing he started, the wall, immigrant reform, lowered the debt, fixed roads and bridges, that he finished! The closest hes come is wrecking America and why he MUST NOT have a 2nd term! @ @CNN @WSJ @MSNBC"
no_xeno,"@paulcshipley @DonaldJTrumpJr Whatever we do when this is over, we need to ruin this man &amp; men like him; but particularly Mercer because he saved 45 in 2016. 45 actually worked for Mercer and his anti immigrant white agenda grom day 1. It was Mercer and Bannon who teamed up to save that dying campaign and did https://t.co/eCnwDHxpgv"
no_xeno,#mastering has begun for the New Hope Music Societys 16 song album The Immigrant Suite @SteinbergMedia @DougFearn #doylestown #phillymusic https://t.co/UKdrHQrxYp
no_xeno,"@Ky_Gill28 @DearAuntCrabby Repeal Citizens United, naturalize all DACA and real immigrant reform, make all religious groups pay taxes and increase the minimum wage. All things they could have done but failed to do because Democrats are really two parties not one"
no_xeno,@aimeeintexas @tedcruz Im an immigrant and a Republican. I have been very involved for years and I dont feel hated.
no_xeno,Im finna become an illegal immigrant somewhere and lay low.
xeno,7AM like sum kinda immigrant
no_xeno,Illegal immigrant who avoided deportation under Obama accused of killing three in DUI via @washtimes  https://t.co/gFuF0MzWnV https://t.co/TP7fZNVmcD
no_xeno,"Calling someone Karen will never be offensive or racist as the words used on Black, Jewish, Mexican or Arab Americans."
no_xeno,I need to find a Mexican grandmother who knows how to do spiritual cleansing and massages I need one so bad..
no_xeno,Where can I get a ?? Mexican hamburger rn near downtown
no_xeno,English - Spanish - Turkish - German - French - Mexican &amp; now Finnish. Damn Ive watched some shit on @netflix till date...?? #DEADWIND
no_xeno,@AJimenez_90 @lion_ness91 Lmfao bro!!!!!!!! Why are Mexican parents like this. My mom would put the jalapeño on the comal and Id be buggin and shed give it to me. Id be crying like a b after biting into it
no_xeno,@_honeyimhome_ @shOoObz It'll be way worse than it is now by around mid to late October. It'll be another shutdown around then. Sad to say
no_xeno,Mexican food and CONSTANTINE! I havent watched this in...10 years? LOL...I remember liking it back in the day. https://t.co/FYJxbdYRYO
no_xeno,Stop coming at me for wanting everyone to get along. Fuck youre skin color fuck all the skin colors. Im not claiming shit anymore. Im not white Im not black Im not Mexican Im not Portuguese. Im a fucking human. This race shit this color shit is old and will never stop ??
no_xeno,I need mexican parents to stop thinking money makes everything better lol how about a check for emotional support ?
no_xeno,"Wa.. La.. blacken Mahi Mahi, garlic spicy shrimp, roasted veggies, Mexican white rice! Cheers/Saludes https://t.co/M1BxW4tpeH"
no_xeno,"Enjoyed some authentic Mexican food while we were there also. Im usually skeptical any further north than Texas but it was so good!
.
.
.
#authenticmexicanfood #foodie #horchata #tacosalpastor #sopes https://t.co/zks77Hi5sw"
no_xeno,"I'd rather die on my feet than live on my knees - Emiliano Zapata, ???? Mexican Revolutionary. Shot 20 times. https://t.co/3QYzSGABKW"
no_xeno,tell me why I barely found a good Mexican restaurant that reminds me of home.. fr bouta cry
no_xeno,"This week Im trying to get my Mexican mother to learn how to cook healthier meals, my household eats way too much red meat, with not enough veggies... yall wish me luck, Im introducing her to so many new dishes! Plant based of course!"
no_xeno,@ayramhrdzz @Lili_leos Lmaooo I love it!! I need a mini me ?? that freaking Mexican folklore ring trick keeps telling me Im only having two boys though ?? guess Im adopting one ??
no_xeno,I seen a Mexican so this shit &amp; almost started clapping. ???? I aint seen a good ass whoopin in a minnnnnn https://t.co/lldAGfaA5B
no_xeno,@wendy_bien @StephenKing OMG my Mexican mother has been staying with me through quarantine and all I eat is Mexican. I would (almost) kill for a sit-down dinner at a steakhouse.
no_xeno,"Goddamn, yall dont know how much my Mexican ass love them pupusas"
xeno,@richiihill72 if u clean dem hoes u a real life mexican
no_xeno,Gonna open a strip club that's also a mexican place and name it Sexican
no_xeno,"I'm listening...

Slate: This Haunting New Bestseller Is Part du Maurier, Part del Toro.
https://t.co/ykZ5Bnkj03

via @GoogleNews"
no_xeno,"We help all of our team members be successful! Check out current job in Salt Lake City, UT opening and join the #CafeRioFamily ?? https://t.co/ibxQ4LDkSA #FastCasual"
no_xeno,Shes eating French fries at a Mexican restaurant
no_xeno,@wmjackson Right? And my designer @FatDogCreatives lives here. And @sarahpressler is two hours away. And Mexican food! And steak! And no roommates.
no_xeno,"@NicolasEdny Omg, the WHITE excuse to elect GOP cruel hypocrosy.
Well, we Mexican Americans are finally mJing a dent in Tx..
We reject GOP, always have.
Never have i elected GOP, never will"
no_xeno,Tres Leches at leylaslounge ! Stop by Leylas Restaurant and experience their desserts for yourselves! Open 7 days a week. The home of authentic Mexican/Salvadoran food. Delivery &amp; curbside pickup available https://t.co/YYInWFspQF
no_xeno,"My heart is a mess, going to miss my Mexican momma in utah. A freak accident a plane crashed into her home and she died due to major burns today?? love you Mary"
no_xeno,"Hey, ma! I'm on the Mexican Radio tonight at 8pm Pacific
Tune in for a bitter sweet moment as it's the last show of Nada Mad Que El Blues
102.5 FM or online

https://t.co/q9smkpmPoB

Blues talk in Spanglish ??"
no_xeno,As long as Mexican food and blue bell exists Ill never be skinny???????
no_xeno,"@ConceptualJames Where is the problem? Sounds like white people arent supposed to surf or eat mexican food or play blues music because its black? Then all non-white men are going to have to stop driving cars, taking most medicines, watching TV, etc as those are white male culture"
no_xeno,oh no! im so sad i think our bldg ocho mexican grill may no longer be open ?? just went and its closed! #dtla
no_xeno,"We are hiring our next Restaurant Kitchen Team Member in #Herriman, UT. ???? Apply Today! https://t.co/7nEBU8Twwn #FastCasual"
no_xeno,AMEN!! Welcome Home Beau!! Thank you for your service and sacrifice!!  Time to eat some great Mexican food!! ?? https://t.co/ko2YnbK0Sz
no_xeno,"Monday Specials!
#mexicanfood #sandiego #soups @ Jimmy Carter's Mexican Cafe https://t.co/TFwPtch5Vy"
no_xeno,"Cold avocado soup, Mexican street corn salad, and grilled swordfish steaks. #yummy #healthyfood @ Euless, Texas https://t.co/7lr2KzgJWq"
no_xeno,Did I just pronounce toetilla as tor-til- a to the Mexican server :think:
xeno,This Mexican guy from my highschool sucks trumps dick so hard. Like does he not know???? Trump will literally tell you to go back where you came from lmao
no_xeno,Mexican whatsapp stickers are a different level of funny
no_xeno,Im Mexican and got limo tint on all my windows. Its common in LA for people of all races to tint their windows. https://t.co/OKRhmo2NzW
no_xeno,@Doestaxxx I dont know a single Mexican with untinted windows...
no_xeno,"@CyrusMMcQueen Have you ever tasted calabacita, a mexican dish staple?
It is slow cooked squash ,spices ,pork, garlic, etc?
You just might change your mind."
no_xeno,"@ytteb I hope it's not from Red Habanero! I have boycotted that place as the service sucks and they only give one basket of chips per party (for free)...no matter how many people. Went there w/ 7 people, and they expected us to share one basket! There are better Mexican places around!"
no_xeno,"The Mexican government says that the police ????? is the cause of drug trafficking. Ummmmm, no."
no_xeno,"Ill be reading these articles soon too, because my understanding of Mexican environmental history is rendered incomplete hourly. If youre not a humble learner, are you really in academia? ?? https://t.co/ovUtRRUUYE"
no_xeno,@ChampagneSharks My lady is Mexican and she doesnt like a lot of my rap music. Smh
no_xeno,@mphhdds @hashtagmarisa Mexican ?? percent my friend. Those import fees get me tho. #fuckTrump??
no_xeno,Watch Stateless on Netflix to get a look at what its like at the Mexican border detention facilities.
no_xeno,"????In Queso didn't know there's only one day left until you can get your Distrito taco and margarita fix on!! ????
.
.
.
.
.
.
.
.
#distritophl #mexican #tacos #nachos #margarita #tequila #universitycity #philadelphia https://t.co/UCBM6mWt28"
xeno,@bob_morocco I mean I think wed all like US to beat the Mexican national team absolutely senseless
no_xeno,@pancakepow @GoldenboyFTW Seriously! Alex and I were just talking about those Mexican vegan tacos today ???? https://t.co/Di1hTVejHp
no_xeno,@jkellyESNY I have one question and one question only for you. Where do you find the best Mexican food in the US?
no_xeno,@varinahotomoni Lol. Make sure you get some Mexican sauce. ??
no_xeno,@DrLindseyFitz I just read Mexican Gothic.  Id recommend it!
no_xeno,Getting carne asada from the authentic Mexican place I hope they speak to me in Spanish https://t.co/0bcR6gaKNN
no_xeno,"We are hiring our next Restaurant Crew Member in #Boise, ID. ???? Apply Today! https://t.co/AWKE1Nr2oA #FastCasual"
no_xeno,"@VlDE0GAMES @thesocialrejex @letsfuxindance Calum made rape jokes as well, used gay as a insult multiple times, Ashton made a joke that mobility scooters were for fat people in a old keek. And we can't forget their ""I wanna be in the tribe"" keek and the ""Mexican themed"" m&amp;g. Idk if I'm forgetting anything else"
no_xeno,"I was never a big fan of @AOC, but that has officially changed.          Every time I travel to another state to another city in this country I have also been discriminated against by whites and blacks and they automatically call me shitty Latin Mexican and I understand her 100%. https://t.co/iHc80rChJh"
no_xeno,"@LouisXXIV I could complain that the conquistadors robbed me, a half native Mexican, from my culture. But I dont. Because I dont focus on the past and dont give a fuck what my race is. I love my country and her people. And u should too"
no_xeno,people really think nachos are Mexican food
no_xeno,@kzosa93 Yes! Mikes has bomb fish tacos. Mariscos Jalisco in East LA is a fantastic spot for authentic Mexican seafood too ????
no_xeno,@honeybabyaaron Nahhhhhh. Mom and pops Chinese restaurants. If ima pig out I want to pay a the neighborhood. After that the Mexican chef in the back cooks it just ????. *chefs kiss*
no_xeno,Anyways the guys are getting a Mexican Fiesta post workout. Even the Virginia white sauce.
no_xeno,Another awesome Mexican-style lager coming out of the greater Denver area. Right up there with Big Choice's Gen X. Excellent. - Drinking a Luna Azul Baja Lager by @BlueMoonBrewCo @ Blue Moon Brewing Company @ RiNo District   https://t.co/BeHMWpkUM3
no_xeno,somewhere between being a POC or not really cause Im Mexican ??
no_xeno,"@NicolePerone @mattpalmer1978 @JohnTGrosso @pixarcoco @Box_of_Joe and i (of course) loved that the mexican street doggo had such a large role. reminded us of ernie and we couldnt deal ?? also, when she starts singing with miguel? FORGET IT."
xeno,We love racist Mexican neighbors that drop the N word and threaten to kill my dog. Sir youre cancelled
xeno,@bolshoi @RYP__ The toilet cleaners will be small Mexican children. And everyone involved will wear a smock thats says I dont care. Do you?
no_xeno,@thehumanxp He must have been watching the 2020 American-Mexican wrestling political circus. ????? ?? ??
xeno,@lotusflowerom And hordes of Mexican came rushing through. I believe its up in the millions. OMG what will become of us? Donald Trump you are the only person who can save us from all of the Mexican bandits.
no_xeno,"I feel like $80 is a bit steep, unless this was the staff bag @ClubProGuy used during his #fabled career on the Mexican Mini Tour. https://t.co/1jCSgrsuEb"
no_xeno,One of the Mexican truck drivers told me this humidity is good for my skin and my face breaking out determined thats a lie ????
no_xeno,Thats that lil mexican mom right there ?? https://t.co/VZmAHSM3cH
xeno,u insult one mexican person on here and all their friends show up.... calm down Rebelde
no_xeno,"Were now offering marinated meats+vacuum-sealed meats to buy and grill at home! Dips, salt+spices, sauces, flatbread &amp;Mexican mesquite charcoal are also avail. 
To order: call us at 206-717-2984 or send an email to gm@ciudadseattle.com. Must place orders 48hrs in advance https://t.co/hGUMRXdWbE"
no_xeno,"IT'S BACK!! Everybody's favorite chocolate hazelnut brown ale Filbert's cousin Filberta has returned! The addition of Mexican Chocolate, Habenero, &amp; Cinnamon sticks make it both an indulgent &amp; spicy treat you don't https://t.co/Zdz9HJHTWV"
no_xeno,"@kikachuuuuuuuu The knock on us is that we dont specialize in anything. Burgers maybe. 

Variety might be our specialty haha. Which Im all about. Even Mexican good, every person from SD will knock LA Mexican food"
no_xeno,@LincCat My white kid's nickname was Guera/ Guerita at her mostly Mexican school.
no_xeno,@LSDR34M @jessethechef Oh I thought the rest of it would have been a lil chunky Mexican baby or sumn...
no_xeno,@iamnutters Oh but Im wrong it wasnt after the Mexican american war it was after the Mexican revolution
no_xeno,@SpeggyHughes @InsideATureen @dubwan @chicagosmayor Really you want to be in an american political debate and bring up europe? Just stop because I can give you a history lesson. Did you know black slaves ran to Mexico. And fought with the mexican army. And the us was mad that they wouldn't return run away slaves.
no_xeno,"@YeardleySmith @TheSimpsons @BuzzFeed Alrighty as a Mexican (American, by naturalization lol) I'd love for you guys to do an episode in México, maybe taking the Chepe train into the Barrancas del Cobre (Copper Canyon) in Chihuahua, something out of the stereotypical norm. My fan heart got creative there. ??"
no_xeno,Americans bid is higher I promise... shes gonna b with this Mexican girl ?? America needs @EbanieBridges @EddieHearn @DAZN_USA https://t.co/K9kg4ewYxO
no_xeno,Treating my bestie with someeeee Mexican food girlll
no_xeno,"Mexican world travelers made a stop in #Vienna where the #Moctezuma feather crown is housed in a #museum ...is this an example of the original meaning of #culturalappropriation ?
.
.
#CDMX #Mexico #Austria #Maximiliano #Museo #Perspectivas #PenachodeMoctezuma #Culture #Dialog https://t.co/ge0m3ak1lR"
no_xeno,Mexican families always wanna be in your relationship???????
no_xeno,my dad is obsessed w my gf being mexican ??
xeno,"Me: shit my shirt is soaked from the rain. 

My mexican coworker: now you know what it feels to be a wetback huh. Lmaooo"
no_xeno,coronavirus does not exist in mexican culture lol stg my mexican homies out here have not stopped partying all quarantine ??
no_xeno,being Mexican and still living at home means getting in trouble for driving your 23 year old self in you OWN car to San Francisco for the weekend
no_xeno,"@pelno_l @RealLyndaCarter @AOC Never to late to realize you are racist, Linda Carter is of Mexican American decent. Wash off all that adoration you did before you found out the truth"
no_xeno,White girls still have my heart ?? but these Mexican girls are coming up??
no_xeno,"Eureka Springs, Arkansas - natural springs are the Spring of Eureka ... have some tasty Mexican with the view &amp; sounds of a natural spring #RunAwayBill #DUSA2020 #EurekaSpringsAR #EurekaSpringsArkansas #rabArkansas https://t.co/4aNo53jvAd"
no_xeno,"We're hiring in #Boise, ID! Click the link in our bio to apply to this job and more: Restaurant Crew at Cafe Rio Mexican Grill #FastCasual"
no_xeno,"Lunch (@ Chipotle Mexican Grill in Temple, TX) https://t.co/AEjIvk8Yxl"
no_xeno,"Simply Mexican Lager from @18thStreetBrew 

The guys nailed it with this one. @ 18th Street Brewery https://t.co/TGIO23T7y6"
no_xeno,A nigga got so mad he said I had Mexican Nikes on ???? he aint like what I said so much tht he had to investigate my profile pic ??????? couldnt be me
no_xeno,Cali Tacos might be one of the best Mexican places Ive ever been to. Shoutout to the best friend for taking me ??
no_xeno,Protein and carbs #Mexican breakfast of champions https://t.co/uQWN0ugXqu
no_xeno,"Want to be a part of the #CafeRioFamily? ?? Were hiring in Boise, ID. https://t.co/jNLbBsmwz6 #FastCasual"
no_xeno,"So weve now been to two places where the employees are not wearing masks. We walked out. Cannot support a place thats not doing the right thing 
No Mexican for lunch ??"
no_xeno,"@kybluegirl51 When Trump first started on his Mexican border wall idea, some of us remarked that we'd rather see a Wall around the White House to protect us from Trump.  Seems we""re getting one!  Also seems #KingDonaldI doesn't even pretend to be ""of the people, by the people, for the people."""
no_xeno,Door dash just had a 15 off any order. My Mexican was 13 . A Bih just got a free meal lol
no_xeno,"@AOC Adobo does not have chilly powder,i knew she was mexican"
no_xeno,God i love Mexican food so much https://t.co/Ho87fKSPEu
no_xeno,"Chipotle Mexican Grill - Chicago, Illinois - I ordered a bowl and I seen like the Droppings of a rat or mouse in there plus maybe the anus cut up with some still stuck in there... Food Poisoning https://t.co/S1Xf1aEQII https://t.co/Yu3QDNudQN"
no_xeno,"@Kirko58 If you make it down to Appleton, Lindo Michoacan (Mexican), Draft gastropub, Cozy Corner (southern food / fried chicken), Mihms (best burger in the state). Oh and I'm always down to be a foodie guide too! ????"
no_xeno,Youll definitely need a ??frozen marg?? (or two) in todays heat! ?? @ Mad Dog &amp; Beans Mexican Cantina https://t.co/tARza65BCM
no_xeno,Rainbow Eating - Mexican Slaw with Zesty Lime Dressing  https://t.co/uhv1Mfr6N4
no_xeno,"The MLS is quickly becoming a comfort level for various Mexican players. 

Before we know it the MLS will have more Mexican players in their league than being in the European continent. 

Is it a bad or good thing? What do yall think?"
no_xeno,will never understand the extreme paradox of people eating in the Mexican restaurant i work at with MAGA masks on
no_xeno,No one in USA called it marijuana till after the Mexican american war and then government and the media started using it to vilinize the Mexicans who were immigrating to the US and thats how weed backed illegal. Before then when it was only used by the white man it was legal
no_xeno,"I was raised in America but there are popular food/things that Ive never had nor do I know what they are bc I was raised in a Mexican household ?? 

Example 1: Casserole... I dont think Ive ever had it?? And I especially dont know what they have in them ??"
no_xeno,Just posted a photo @ Viva Zapata's mexican restaurant and cantina https://t.co/qe0nbxw6DZ
no_xeno,"@TimSamko @NeelBlair @seattletimes This selective data pools show only one truth about racism in our society. What do Chinese, Mexican, Ethiopian, Indian, Irish Pub, Italian, etc restaurants show? Because the data pool matters."
no_xeno,Craving mexican food like something serious????
no_xeno,"I guess youve never heard of Italian American, Japanese American, Polish American, Mexican American, German American, Cuban American, Korean American, Jewish American, Portuguese American, Lebanese American, Swedish American, Philippine American, Hungarian American, Nigerian Ame https://t.co/ow67YIIJgn"
no_xeno,Me and our whole ass Mexican family are meeting my uncles gf and our fmpatents gave us a whole ass talk to be nice ???? MAAM I cant be nice WHEN I WANT TO BE ??
no_xeno,"@katierogers Right you mean some Mexican or black guy will be doing that and she will be taking all the credit, please you have to have that kind of experience and you have to get really dirty something that the trumps would have a titie attack if they were to try and do lol losers lol."
no_xeno,Todays new creations include mini bows for pigtails. And some Mexican candy inspired bows too! Find the CuriousCamiBowtique's shop on Etsy https://t.co/fpnvGnSeZl https://t.co/LaRvIIoq2o
no_xeno,"Such an awesome weekend full of little boys laughs, movie forts, snow cones, tie die, Mexican food and great friends! ?? Thank you Shana for the awesome tie die and science experiments! https://t.co/xj7EQfGkLJ"
no_xeno,@BetteMidler You know he'll blame it on the Democrats !  Imagine what the Mexican side is doing ... they're probably hurting from laughing so hard !
no_xeno,Anyone wanna take a quick trip to DL today and go eat some Mexican?
no_xeno,@LilCjKasino @Sauce_Walka102 Bro its a Lil Mexican in the south side w yo chain doe ??
no_xeno,"If you write a treatise on Mexican custard, would it be considered a flan-alysis?"
no_xeno,I cant express enough how hard breakfast tacos go in the morning after some daily thc intake ?? and not then tacos from up north. Im talking about authentic made Mexican breakfast tacos.
no_xeno,"TODAY's 6PACKS2GO
Black is Beautiful Coconut Vanilla Stout
Beta Flash NE IPA

UPCOMING BEERS
Bus Eater 2X NE IPA w/ Grapefruit (Wait until you see the fun video we made!)
Hawaiian Swell Line
Scioto Coast Double IPA
Southern Terminus Mexican Lager https://t.co/ZoWfCRUuDB"
no_xeno,"Join the Cafe Rio Mexican Grill family ?? and check out our latest #JobOpenings near you! ?? https://t.co/lg7eMgHkW5 #BrighamCity, UT"
xeno,"@carrickdb, ""Mexican"" is not a race. Thinking so is an indicator of retardation. By the (cont) https://t.co/FXO6dNu1uD"
no_xeno,"Finding out someone also shares my heritage is a source of pride, and rightfully so, considering the lack of representation Mexican Chicano have in Bay Area Mexican community in general speaking."
no_xeno,"@john_overholt We have them here, but sometimes they are from Mexico. I kinda cringe at the thought of the Mexican toilet paper that's camomile-scented."
no_xeno,@Sarah4Biden2020 @ShelbyKStewart @StayTheEffHome @aformerrepublic Oh I never went to Texas that's what I'm saying never live there never went there but damn they do have good Mexican that's what my friends tell me
no_xeno,anyway the playlist today instead of being traditional mexican music has been n*sync interspersed with 80s classics and like i'm not complaining but i Am Very Confused
no_xeno,It's Burger Monday.....come and grab...Yummy Tasty American and Mexican Food. Call us or order online https://t.co/YnAZt8G0uV #burger #monday #yummy #taste #Americanfood #mexicanfood #Barbacoa #barbacoaam #Albany #albanymn #restaurantalbany https://t.co/aI4pNZJwXF
no_xeno,do your mexican parents get mad at you for not properly preparing your boyfriends dinner or are you normal
xeno,Can't park outside the Mexican Embassy but yet they can send all their illegals here!
no_xeno,This Mexican just said hey mama and the way he said it made me finish it with its that beat to make your booty move mama lmfao ima corn
